AA123 	/	 Los Angeles 	/	08:00	/	 On Time 	/	 No gate
UA456 	/	 New York 	/	08:01	/	 On Time 	/	 No gate
DL789 	/	 Chicago 	/	08:02	/	 On Time 	/	 No gate
AC234 	/	 Toronto 	/	08:03	/	 On Time 	/	 No gate
BA567 	/	 London 	/	08:04	/	 On Time 	/	 No gate
LH890 	/	 Frankfurt 	/	08:05	/	 On Time 	/	 No gate
AF123 	/	 Paris 	/	08:06	/	 On Time 	/	 No gate
EK456 	/	 Dubai 	/	08:07	/	 On Time 	/	 No gate
TK789 	/	 Istanbul 	/	08:08	/	 On Time 	/	 No gate
AZ234 	/	 Rome 	/	08:09	/	 On Time 	/	 No gate
CX567 	/	 Hong Kong 	/	08:10	/	 On Time 	/	 No gate
JL890 	/	 Tokyo 	/	08:11	/	 On Time 	/	 No gate
QR123 	/	 Doha 	/	08:12	/	 On Time 	/	 No gate
EY456 	/	 Abu Dhabi 	/	08:13	/	 On Time 	/	 No gate
KE789 	/	 Seoul 	/	08:14	/	 On Time 	/	 No gate
AI234 	/	 Delhi 	/	08:15	/	 On Time 	/	 No gate
TG567 	/	 Bangkok 	/	08:16	/	 On Time 	/	 No gate
KL890 	/	 Amsterdam 	/	08:17	/	 On Time 	/	 No gate
UA321 	/	 Washington DC 	/	08:18	/	 On Time 	/	 No gate
DL654 	/	 Miami 	/	08:19	/	 On Time 	/	 No gate
AC987 	/	 Montreal 	/	08:20	/	 On Time 	/	 No gate
BA432 	/	 Edinburgh 	/	08:21	/	 On Time 	/	 No gate
LH765 	/	 Munich 	/	08:22	/	 On Time 	/	 No gate
AF890 	/	 Lyon 	/	08:23	/	 On Time 	/	 No gate
EK321 	/	 Abu Dhabi 	/	08:24	/	 On Time 	/	 No gate
TK654 	/	 Antalya 	/	08:25	/	 On Time 	/	 No gate
AZ987 	/	 Milan 	/	08:26	/	 On Time 	/	 No gate
CX432 	/	 Taipei 	/	08:27	/	 On Time 	/	 No gate
JL765 	/	 Osaka 	/	08:28	/	 On Time 	/	 No gate
QR890 	/	 Dubai 	/	08:29	/	 On Time 	/	 No gate
EY321 	/	 Muscat 	/	08:30	/	 On Time 	/	 No gate
KE654 	/	 Jeju 	/	08:31	/	 On Time 	/	 No gate
AI987 	/	 Mumbai 	/	08:32	/	 On Time 	/	 No gate
TG432 	/	 Phuket 	/	08:33	/	 On Time 	/	 No gate
KL765 	/	 Copenhagen 	/	08:34	/	 On Time 	/	 No gate
UA890 	/	 Houston 	/	08:35	/	 On Time 	/	 No gate
DL321 	/	 Las Vegas 	/	08:36	/	 On Time 	/	 No gate
AC654 	/	 Vancouver 	/	08:37	/	 On Time 	/	 No gate
BA987 	/	 Manchester 	/	08:38	/	 On Time 	/	 No gate
LH432 	/	 Hamburg 	/	08:39	/	 On Time 	/	 No gate
AF765 	/	 Marseille 	/	08:40	/	 On Time 	/	 No gate
UA555 	/	 Houston 	/	08:41	/	 On Time 	/	 No gate
AA666 	/	 Los Angeles 	/	08:42	/	 On Time 	/	 No gate
DL777 	/	 New York 	/	08:43	/	 On Time 	/	 No gate
AC888 	/	 Toronto 	/	08:44	/	 On Time 	/	 No gate
BA999 	/	 London 	/	08:45	/	 On Time 	/	 No gate
LH1010 	/	 Frankfurt 	/	08:46	/	 On Time 	/	 No gate
AF1111 	/	 Paris 	/	08:47	/	 On Time 	/	 No gate
EK1212 	/	 Dubai 	/	08:48	/	 On Time 	/	 No gate
